PathwayName	PathwayID
Cell Cycle Checkpoints	REACT:R-HSA-69620
Cell cycle - G1/S transition	KEGG:hsa_M00692
Cell cycle - G2/M transition	KEGG:hsa_M00693
Cell Cycle, Mitotic	REACT:R-HSA-69278
Cell death signalling via NRAGE, NRIF and NADE	REACT:R-HSA-204998
Cell-extracellular matrix interactions	REACT:R-HSA-446353
Cell junction organization	REACT:R-HSA-446728
Cell redox homeostasis	REACT:R-HSA-1222541
Cell surface interactions at the vascular wall	REACT:R-HSA-202733
Cellular responses to stress	REACT:R-HSA-2262752
Cellular response to heat stress	REACT:R-HSA-3371556
Cellular response to hypoxia	REACT:R-HSA-2262749
Cellular Senescence	REACT:R-HSA-2559583
Central carbon metabolism in cancer	KEGG:hsa05230
Centrosome maturation	REACT:R-HSA-380287
Ceramide biosynthesis	KEGG:hsa_M00094
Ceramide signalling	REACT:R-HSA-193681
cGMP effects	REACT:R-HSA-418457
cGMP-PKG signaling pathway	KEGG:hsa04022
cGMP signaling	KEGG:hsa_M00694
Chagas disease (American trypanosomiasis)	KEGG:hsa05142
Chaperonin-mediated protein folding	REACT:R-HSA-390466
Chemical carcinogenesis	KEGG:hsa05204
Chemokine receptors bind chemokines	REACT:R-HSA-380108
Chemokine signaling pathway	KEGG:hsa04062
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	REACT:R-HSA-75035
CHL1 interactions	REACT:R-HSA-447041
Cholecalciferol biosynthesis	KEGG:hsa_M00103
Cholesterol biosynthesis	REACT:R-HSA-191273
Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	KEGG:hsa_M00101
Cholesterol biosynthesis via desmosterol	REACT:R-HSA-6807047
Cholesterol biosynthesis via lathosterol	REACT:R-HSA-6807062
Choline catabolism	REACT:R-HSA-6798163
Choline metabolism in cancer	KEGG:hsa05231
Cholinergic synapse	KEGG:hsa04725
Chondroitin sulfate biosynthesis	REACT:R-HSA-2022870
Chondroitin sulfate degradation	KEGG:hsa_M00077
Chondroitin sulfate/dermatan sulfate metabolism	REACT:R-HSA-1793185
ChREBP activates metabolic gene expression	REACT:R-HSA-163765
Chromatin modifying enzymes	REACT:R-HSA-3247509
Chromatin organization	REACT:R-HSA-4839726
Chromosome Maintenance	REACT:R-HSA-73886
Chronic myeloid leukemia	KEGG:hsa05220
Chylomicron-mediated lipid transport	REACT:R-HSA-174800
Cilium Assembly	REACT:R-HSA-5617833
Circadian Clock	REACT:R-HSA-400253
Circadian entrainment	KEGG:hsa04713
Circadian rhythm	KEGG:hsa04710
Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	KEGG:hsa_M00010
Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	KEGG:hsa_M00011
Citrate cycle (TCA cycle)	KEGG:hsa00020
Citrate cycle (TCA cycle, Krebs cycle)	KEGG:hsa_M00009
Citric acid cycle (TCA cycle)	REACT:R-HSA-71403
Class A/1 (Rhodopsin-like receptors)	REACT:R-HSA-373076
Class B/2 (Secretin family receptors)	REACT:R-HSA-373080
Class C/3 (Metabotropic glutamate/pheromone receptors)	REACT:R-HSA-420499
Classical antibody-mediated complement activation	REACT:R-HSA-173623
Classical Kir channels	REACT:R-HSA-1296053
Class II GLUTs	REACT:R-HSA-428776
Class I MHC mediated antigen processing & presentation	REACT:R-HSA-983169
Clathrin derived vesicle budding	REACT:R-HSA-421837
Clathrin-mediated endocytosis	REACT:R-HSA-8856828
Clearance of Nuclear Envelope Membranes from Chromatin	REACT:R-HSA-2993913
Cleavage of Growing Transcript in the Termination Region	REACT:R-HSA-109688
Cleavage of the damaged purine	REACT:R-HSA-110331
Cleavage of the damaged pyrimidine	REACT:R-HSA-110329
CLEC7A (Dectin-1) induces NFAT activation	REACT:R-HSA-5607763
CLEC7A (Dectin-1) signaling	REACT:R-HSA-5607764
CLEC7A/inflammasome pathway	REACT:R-HSA-5660668
Cobalamin (Cbl, vitamin B12) transport and metabolism	REACT:R-HSA-196741
Cocaine addiction	KEGG:hsa05030
Coenzyme A biosynthesis	REACT:R-HSA-196783
Coenzyme A biosynthesis, pantothenate => CoA	KEGG:hsa_M00120
Cohesin Loading onto Chromatin	REACT:R-HSA-2470946
Collagen biosynthesis and modifying enzymes	REACT:R-HSA-1650814
Collagen chain trimerization	REACT:R-HSA-8948216
Collagen degradation	REACT:R-HSA-1442490
Collagen formation	REACT:R-HSA-1474290
Collecting duct acid secretion	KEGG:hsa04966
Colorectal cancer	KEGG:hsa05210
Common Pathway of Fibrin Clot Formation	REACT:R-HSA-140875
Complement and coagulation cascades	KEGG:hsa04610
Complement cascade	REACT:R-HSA-166658
Complex I biogenesis	REACT:R-HSA-6799198
Condensation of Prometaphase Chromosomes	REACT:R-HSA-2514853
